core0,core1,core2,core3,core4,core5,core6,core7
9.6,3.9,2.0,1.0,0.0,3.9,100.0,2.0
7.8,28.0,5.9,2.0,62.0,8.4,16.0,1.0
100.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0
43.6,7.9,44.6,27.0,15.7,14.4,21.1,5.9
12.6,10.0,34.7,68.6,8.2,32.7,14.3,3.1
2.0,3.0,2.0,100.0,5.0,0.0,4.0,1.0
14.9,16.0,25.0,75.0,23.8,13.5,18.7,11.5
17.0,10.9,14.1,16.2,15.7,37.6,8.0,67.7
17.1,15.7,15.2,17.9,15.4,9.9,5.9,94.1
11.1,12.0,11.0,6.2,12.9,7.9,100.0,1.0
10.0,10.1,11.1,64.0,38.8,7.0,9.1,6.1
70.0,10.9,31.3,10.1,44.0,6.1,16.3,8.8
82.4,22.2,11.1,12.6,12.0,8.0,13.3,10.0
35.2,16.7,19.6,13.6,17.3,16.0,32.0,73.1
41.2,14.9,10.2,56.6,20.0,14.7,5.9,100.0
17.6,12.1,10.1,28.3,24.7,10.1,13.7,100.0
10.8,10.0,11.7,6.9,100.0,2.0,13.3,7.1
24.8,19.2,7.1,99.0,16.0,39.2,18.4,22.5
22.6,16.3,26.7,53.1,35.8,51.0,31.7,12.7
17.6,13.3,19.8,15.2,19.8,30.2,61.4,32.0
27.5,8.2,13.1,12.5,25.2,10.6,12.1,82.0
15.7,10.1,13.9,9.8,91.0,11.9,16.3,12.4
8.0,4.0,7.2,10.5,100.0,0.0,5.1,3.0
16.2,5.0,8.9,7.8,81.6,21.4,11.0,13.0
9.2,14.0,14.3,13.7,51.5,51.0,14.0,7.0
8.7,7.0,4.0,15.5,100.0,3.9,10.2,13.9
17.2,12.2,48.5,33.3,52.9,18.3,20.4,10.0
100.0,3.0,6.2,5.9,13.9,10.5,7.1,2.1
56.9,4.0,51.5,1.1,16.5,16.4,15.8,4.0
23.5,13.7,36.0,34.4,54.5,21.6,17.6,36.6
36.0,11.5,37.4,34.7,30.1,27.9,26.5,29.4
97.0,6.0,9.3,4.1,14.7,13.2,4.1,3.1
8.2,7.1,73.0,30.0,7.1,4.1,8.0,8.0
16.0,14.1,19.0,11.2,76.2,25.7,34.7,10.0
